,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
80,-0.9950268864631653,2.2591090202331543,0.023861229419708252,-0.053569674491882324,-0.01170222971401736,2.3009764650110194,-0.045182179659605026,-0.045182179659605026,0.11091405123657538,-0.008249986245306266,0.0,-0.008249986245306266
44,-0.9491387009620667,2.2036349773406982,0.024218671023845673,-0.04912726581096649,-0.01141487306235358,2.241347370089311,-0.044072698801755905,-0.044072698801755905,0.11612227998490149,-0.00823379889938185,0.0,-0.00823379889938185
3,-0.9244212508201599,2.173882246017456,0.024369172751903534,-0.03177672624588013,-0.011260754052333533,2.1943982182110027,-0.04347764700651169,-0.04347764700651169,0.11902829331917927,-0.00822343442951561,0.0,-0.00822343442951561
59,-0.9197375774383545,2.168623924255371,0.023951567709445953,0.05319714546203613,-0.01123351526152715,2.104193263531808,-0.04337247833609581,-0.04337247833609581,0.11958709055864013,-0.008222738009336922,0.0,-0.008222738009336922
32,-0.8941674828529358,2.1375327110290527,0.024914927780628204,0.043585896492004395,-0.011072462811291216,2.0828743517257573,-0.042750656604766846,-0.042750656604766846,0.12268437393368958,-0.008208926634893846,0.0,-0.008208926634893846
37,-0.8913447260856628,2.1336798667907715,0.024940259754657745,0.039497390389442444,-0.01105250384325534,2.0831299725580736,-0.04267359524965286,-0.04267359524965286,0.12303117131250134,-0.008205679431231573,0.0,-0.008205679431231573
25,-0.8894765973091125,2.130986452102661,0.024393387138843536,-0.022510066628456116,-0.011038553020533174,2.1424579657105842,-0.0426197312772274,-0.0426197312772274,0.12326122420134858,-0.008202965171453563,0.0,-0.008202965171453563
76,-0.8774197101593018,2.1165244579315186,0.025275908410549164,0.010021030902862549,-0.010963638868197798,2.0955397881604583,-0.04233048856258392,-0.04233048856258392,0.12475636613812278,-0.008196460022846285,0.0,-0.008196460022846285
10,-0.8714281320571899,2.108621120452881,0.02484004944562912,-0.052247196435928345,-0.01092269915183261,2.1499456177369765,-0.042172420769929886,-0.042172420769929886,0.12550609744352814,-0.008190304108937374,0.0,-0.008190304108937374
67,-0.8495981693267822,2.0815742015838623,0.02500917762517929,-0.04104338586330414,-0.010782595609746872,2.1118349918374197,-0.04163148254156113,-0.04163148254156113,0.1282760144670273,-0.008173803801399608,0.0,-0.008173803801399608
64,-0.8442046046257019,2.074807643890381,0.025737471878528595,-0.03071501851081848,-0.010747545361664146,2.0947751170395352,-0.0414961539208889,-0.0414961539208889,0.12896974861891106,-0.00816919068255724,0.0,-0.00816919068255724
83,-0.7945690155029297,2.013293743133545,0.024319812655448914,0.03671273589134216,-0.010428902357030659,1.966152104885172,-0.040265876799821854,-0.040265876799821854,0.13553277041403333,-0.008125779301765997,0.0,-0.008125779301765997
