,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
39,-4.797872543334961,1.482248306274414,0.029480457305908203,0.4914402961730957,0.44409474605131144,1.4349027561526297,1.7146449089050293,1.4349027561526297,0.12370911174988136,2.3469528118991057,0.0,2.3469528118991057
175,-4.726454257965088,1.480114459991455,0.029230117797851562,1.169443130493164,0.44438948190569877,0.7550608114039898,1.715782880783081,0.7550608114039898,0.13286734468814923,2.4337152350636497,0.0,2.4337152350636497
104,-4.669497966766357,1.41676664352417,0.01436471939086914,0.6207823753356934,0.44464756874907013,1.2406318369375466,1.716779351234436,1.2406318369375466,0.14065463848593024,2.505330798317349,0.0,2.505330798317349
189,-4.531734466552734,1.4254093170166016,0.013399124145507812,-0.9021162986755371,0.4450899812839031,2.772615596976042,1.7184875011444092,1.7184875011444092,0.16142990336192484,2.6862851296097396,0.0,2.6862851296097396
193,-4.447391033172607,1.4883160591125488,0.006073713302612305,0.9956955909729004,0.44518689892971514,0.9378073670693636,1.718861699104309,0.9378073670693636,0.1756361361764686,2.8023667960690353,0.0,2.8023667960690353
170,-4.411398410797119,1.4991283416748047,0.005179643630981445,0.756680965423584,0.44524071462154385,1.1876880908727645,1.719069480895996,1.1876880908727645,0.1820728841520841,2.853497797307418,0.0,2.853497797307418
132,-4.367859840393066,1.4849305152893066,-0.00820159912109375,-1.3759732246398926,0.44537567066800593,3.306279410597205,1.7195905447006226,1.7195905447006226,0.19017517853787924,2.9170544228003368,0.0,2.9170544228003368
24,-4.28948974609375,1.5227079391479492,0.020205974578857422,-0.08285045623779297,0.4454168274765014,2.0509752228622435,1.7197494506835938,1.7197494506835938,0.20567880110155407,3.033670977151559,0.0,3.033670977151559
40,-4.176845073699951,1.5172600746154785,0.008934736251831055,0.6124377250671387,0.44544754842507833,1.3502698979734182,1.7198680639266968,1.3502698979734182,0.23020274172056757,3.209297578147925,0.0,3.209297578147925
154,-4.117273807525635,1.4928817749023438,-0.003921985626220703,0.8442997932434082,0.4455534816658496,1.0941354633247853,1.7202770709991455,1.0941354633247853,0.24433290803248522,3.3069156818000858,0.0,3.3069156818000858
12,-4.112022399902344,1.525723934173584,0.0020563602447509766,1.2442469596862793,0.4454657031162977,0.7269426776036023,1.7199381589889526,0.7269426776036023,0.24561937465221845,3.314939455445679,0.0,3.314939455445679
180,-4.108796119689941,1.4854192733764648,-0.017243623733520508,-0.6285309791564941,0.4455980656354427,2.559548318168402,1.7204492092132568,1.7204492092132568,0.24641309126807234,3.321267085082632,0.0,3.321267085082632
152,-4.035045623779297,1.4632463455200195,0.006008148193359375,-0.06020069122314453,0.44561297841751574,1.9690600151606799,1.7205067873001099,1.7205067873001099,0.26527309866029397,3.445886931482971,0.0,3.445886931482971
129,-4.018272399902344,1.4635086059570312,-0.004661083221435547,-0.4458427429199219,0.44563443676853176,2.3549857856454848,1.7205896377563477,1.7205896377563477,0.2697601093522322,3.4750168164752915,0.0,3.4750168164752915
6,-3.962649345397949,1.4707088470458984,0.01760721206665039,1.5521049499511719,0.4456054757134914,0.36420937280821797,1.720477819442749,0.36420937280821797,0.28519014541117055,3.572587888774754,0.0,3.572587888774754
149,-3.961449146270752,1.4219284057617188,0.017881393432617188,-1.207888126373291,0.44573045902991293,3.0755469911649227,1.7209603786468506,1.7209603786468506,0.2855326358620359,3.5757307891174395,0.0,3.5757307891174395
44,-3.942584753036499,1.4029979705810547,-0.011301040649414062,-0.591278076171875,0.4456933777643442,2.439969424517274,1.7208172082901,1.7208172082901,0.29097016235382367,3.609248967390751,0.0,3.609248967390751
168,-3.9362552165985107,1.410055160522461,0.00661015510559082,0.29474496841430664,0.44567093140292163,1.560981123511076,1.7207305431365967,1.560981123511076,0.29281770948907543,3.620484233501942,0.0,3.620484233501942
80,-3.9283461570739746,1.4684677124023438,0.011038780212402344,0.10192394256591797,0.4456671646132469,1.8122109344496726,1.7207159996032715,1.7207159996032715,0.2951428047213885,3.634770423489999,0.0,3.634770423489999
27,-3.9034528732299805,1.419830322265625,0.00712275505065918,0.7697939872741699,0.4457013744735717,1.095737709465027,1.7208480834960938,1.095737709465027,0.3025820882744767,3.680484711048104,0.0,3.680484711048104
101,-3.8727478981018066,1.416921615600586,0.005590915679931641,0.24378299713134766,0.44572236969470974,1.618860988163948,1.7209291458129883,1.618860988163948,0.31201697144356383,3.7374865721432884,0.0,3.7374865721432884
172,-3.8153350353240967,1.3712525367736816,0.006306171417236328,-0.2232193946838379,0.4458080487221479,2.0402799801796676,1.7212599515914917,1.7212599515914917,0.3304549841633176,3.8468497674143465,0.0,3.8468497674143465
85,-3.753936529159546,1.3879179954528809,0.01760721206665039,0.28580427169799805,0.44583802866291994,1.5479517524178028,1.7213757038116455,1.5479517524178028,0.3513802431507901,3.966799792349113,0.0,3.966799792349113
35,-3.6036176681518555,1.4371395111083984,-0.0010728836059570312,-0.8571147918701172,0.44602686215186116,2.740281165130377,1.722104787826538,1.722104787826538,0.4083757930696174,4.277600584288204,0.0,4.277600584288204
7,-3.5551140308380127,1.436924934387207,0.015091896057128906,0.5757808685302734,0.4460765096747875,1.307220575531721,1.7222964763641357,1.307220575531721,0.4286717391594474,4.382883585757398,0.0,4.382883585757398
49,-3.5013504028320312,1.4425396919250488,0.014418363571166992,0.6353855133056641,0.446138352951169,1.2532925315705539,1.722535252571106,1.2532925315705539,0.45234948467438235,4.502683443021314,0.0,4.502683443021314
8,-3.459946393966675,1.4289140701293945,-0.014644861221313477,-0.28580427169799805,0.44623045404624934,2.160948795873642,1.722890853881836,1.722890853881836,0.4714717033259561,4.597628189275421,0.0,4.597628189275421
97,-3.450883626937866,1.4384746551513672,0.005781650543212891,0.8547306060791016,0.44620093723535537,1.0299449863076209,1.7227768898010254,1.0299449863076209,0.4757639620259538,4.618161725703648,0.0,4.618161725703648
173,-3.360692024230957,1.41676664352417,-0.007325410842895508,0.8088350296020508,0.4463660584745407,1.0542976723966597,1.723414421081543,1.0542976723966597,0.5206684442891542,4.832540595624698,0.0,4.832540595624698
166,-3.351836919784546,1.3971924781799316,0.0013828277587890625,-1.2060999870300293,0.44641110557401176,3.0497035707839726,1.7235883474349976,1.7235883474349976,0.5252994916883879,4.854431233782564,0.0,4.854431233782564
192,-3.3007538318634033,1.3950228691101074,0.014650821685791016,-0.10877847671508789,0.4464960435936451,1.9502973894188405,1.7239162921905518,1.7239162921905518,0.5528306125718545,4.980711018534017,0.0,4.980711018534017
0,-3.219794273376465,1.3721823692321777,-0.005716085433959961,-0.8636713027954102,0.4466917622801065,2.6825454343076944,1.7246719598770142,1.7246719598770142,0.5994491838818826,5.188318845834018,0.0,5.188318845834018
2,-3.2079315185546875,1.3594746589660645,0.014168024063110352,-0.648200511932373,0.4467210629637241,2.4543962338621617,1.7247850894927979,1.7247850894927979,0.6066026485883058,5.219464603547318,0.0,5.219464603547318
171,-3.1749796867370605,1.4123797416687012,0.0072896480560302734,0.7641315460205078,0.44672424312222003,1.0949724387704134,1.7247973680496216,1.0949724387704134,0.6269242960225244,5.3060353247647765,0.0,5.3060353247647765
147,-3.128507137298584,1.341712474822998,0.015139579772949219,-0.521242618560791,0.44693243544006345,2.3098875288238525,1.7256011962890625,1.7256011962890625,0.6567466599225534,5.433049882629438,0.0,5.433049882629438
167,-3.1231837272644043,1.3372540473937988,0.0007212162017822266,-0.553131103515625,0.4469430565519333,2.3373282074613573,1.725642204284668,1.725642204284668,0.6602521138879776,5.44763077915372,0.0,5.44763077915372
184,-3.0893049240112305,1.2985706329345703,0.01551508903503418,0.7471442222595215,0.4470031708101034,0.9984295814851523,1.7258743047714233,0.9984295814851523,0.6830038907221709,5.541253892013849,0.0,5.541253892013849
57,-3.087428331375122,1.3170957565307617,0.023376941680908203,0.7641315460205078,0.44700523945689197,0.9999694499671459,1.7258822917938232,0.9999694499671459,0.684286814179795,5.546470929640841,0.0,5.546470929640841
108,-3.0597476959228516,1.2683629989624023,-0.0018954277038574219,-1.09940767288208,0.4471418318955898,2.8149125037400724,1.726409673690796,1.726409673690796,0.7034929000373888,5.625332287796456,0.0,5.625332287796456
124,-2.9701883792877197,1.2559294700622559,0.014281272888183594,-1.8045306205749512,0.4473379519612789,3.507798042598486,1.7271668910980225,1.7271668910980225,0.7694047014164701,5.885011122903777,0.0,5.885011122903777
13,-2.947977304458618,1.2956738471984863,0.006067752838134766,1.4376640319824219,0.4472804312304258,0.3052902464464903,1.7269448041915894,0.3052902464464903,0.7866852056874709,5.949834263625508,0.0,5.949834263625508
36,-2.9423038959503174,1.2861371040344238,0.017023086547851562,0.7671117782592773,0.4473058107477426,0.966331136522889,1.7270427942276,0.966331136522889,0.791161076944198,5.967040855345129,0.0,5.967040855345129
161,-2.926833152770996,1.27485990524292,0.00833272933959961,-0.7340312004089355,0.44736916691505907,2.4562602725669147,1.7272874116897583,1.7272874116897583,0.8034960967155832,6.01413580450731,0.0,6.01413580450731
31,-2.9059958457946777,1.2845635414123535,0.0033140182495117188,0.2378225326538086,0.44736552362668514,1.49410653238523,1.7272733449935913,1.49410653238523,0.8204144458054018,6.076946430832829,0.0,6.076946430832829
134,-2.7308237552642822,1.3265609741210938,0.00591278076171875,-0.845491886138916,0.4474975156419277,2.6195503759019374,1.727782964706421,1.727782964706421,0.9774838058530769,6.63400179161727,0.0,6.63400179161727
67,-2.6359150409698486,1.5218615531921387,-0.0009953975677490234,0.8004903793334961,0.44752030163192746,1.16889147549057,1.7278709411621094,1.16889147549057,1.074800604438845,6.956097245082557,0.0,6.956097245082557
52,-2.490412950515747,1.8859624862670898,-0.011533498764038086,-0.20265579223632812,0.4476154285088777,2.5362337070122956,1.7282382249832153,1.7282382249832153,1.2431360389497397,7.481525098330644,0.0,7.481525098330644
34,-2.4341068267822266,1.944732666015625,-0.005155801773071289,-0.13142824172973633,0.4476576968290806,2.523818604574442,1.7284014225006104,1.7284014225006104,1.3151403294147372,7.695439207261264,0.0,7.695439207261264
45,-2.420877456665039,1.9630789756774902,0.00947713851928711,0.0005960464477539062,0.44763704123651976,2.410119970466256,1.7283216714859009,1.7283216714859009,1.3326544022278468,7.746050927574425,0.0,7.746050927574425
156,-2.3499457836151123,1.810920238494873,0.006604194641113281,-0.7405877113342285,0.4477790059818029,2.9992869558109043,1.7288697957992554,1.7288697957992554,1.4306149939038315,8.027676654217181,0.0,8.027676654217181
118,-2.253020763397217,1.7217040061950684,-0.004082918167114258,-0.10192394256591797,0.4478998520046472,2.2715278007656337,1.7293363809585571,1.7293363809585571,1.576219782644005,8.427756302187381,0.0,8.427756302187381
56,-2.2474782466888428,1.6791701316833496,-0.01036524772644043,0.9256601333618164,0.4478589730740785,1.2013689713956117,1.729178547859192,1.2013689713956117,1.5849802622512321,8.450326028850453,0.0,8.450326028850453
51,-2.1951534748077393,1.6256451606750488,0.016951560974121094,0.028014183044433594,0.4480069893831014,2.045637967013717,1.7297500371932983,1.7297500371932983,1.6701220812379047,8.676736928287134,0.0,8.676736928287134
186,-2.123283624649048,1.5231013298034668,0.004547834396362305,-0.6598234176635742,0.4482439266287088,2.6311686740957496,1.730664849281311,1.730664849281311,1.7945720413751207,8.998314779025081,0.0,8.998314779025081
